"","M1","M2","cor"
"1","cluster_1","cluster_1912",0.658216515693384
"2","cluster_1","cluster_2467",0.677396442872156
"3","cluster_1","cluster_75",0.801783135613312
"4","cluster_1","cluster_890",0.795438336494464
"5","cluster_10","cluster_1111",0.669579456814652
"6","cluster_10","cluster_1135",0.754206357945394
"7","cluster_10","cluster_116",0.746996493290696
"8","cluster_10","cluster_1250",0.651706765077098
"9","cluster_10","cluster_1287",0.684923705022745
"10","cluster_10","cluster_1347",0.669969859628522
"11","cluster_10","cluster_1393",0.766534243809631
"12","cluster_10","cluster_1422",0.671082204883453
"13","cluster_10","cluster_1537",0.741687334902124
"14","cluster_10","cluster_156",0.719387174773233
"15","cluster_10","cluster_1565",0.655878222379205
"16","cluster_10","cluster_159",0.680204973284031
"17","cluster_10","cluster_172",0.722161612123928
"18","cluster_10","cluster_1727",0.789214663460399
"19","cluster_10","cluster_1757",0.87521593531191
"20","cluster_10","cluster_1806",0.771504893228603
"21","cluster_10","cluster_1843",0.64258466532589
"22","cluster_10","cluster_1878",0.687120952967288
"23","cluster_10","cluster_1956",0.729753664130994
"24","cluster_10","cluster_1961",0.697823472647648
"25","cluster_10","cluster_1970",0.773065595731671
"26","cluster_10","cluster_2010",0.787845563732825
"27","cluster_10","cluster_2018",0.673993991274141
"28","cluster_10","cluster_2052",0.708106177499217
"29","cluster_10","cluster_2075",0.665701733230351
"30","cluster_10","cluster_2132",0.653813632443671
"31","cluster_10","cluster_2158",0.669673796514544
"32","cluster_10","cluster_2178",0.773217759228993
"33","cluster_10","cluster_2217",0.736537114605002
"34","cluster_10","cluster_2222",0.648835145829953
"35","cluster_10","cluster_2227",0.703481247099054
"36","cluster_10","cluster_2237",0.732433920756125
"37","cluster_10","cluster_2256",0.674881097224997
"38","cluster_10","cluster_2292",0.646799462404585
"39","cluster_10","cluster_2297",0.598305518990081
"40","cluster_10","cluster_2315",0.776424259685714
"41","cluster_10","cluster_2319",0.693602241261444
"42","cluster_10","cluster_2346",0.638235224959931
"43","cluster_10","cluster_2348",0.721512286098256
"44","cluster_10","cluster_24",0.721805953910971
"45","cluster_10","cluster_2414",0.680783481482258
"46","cluster_10","cluster_2422",0.704632821955206
"47","cluster_10","cluster_2423",0.763823601374438
"48","cluster_10","cluster_2430",0.658672178791065
"49","cluster_10","cluster_2452",0.734199976607244
"50","cluster_10","cluster_2461",0.731900153633562
"51","cluster_10","cluster_2476",0.658947481193297
"52","cluster_10","cluster_2490",0.792638353506187
"53","cluster_10","cluster_2537",0.701443440399227
"54","cluster_10","cluster_2545",0.704523283630906
"55","cluster_10","cluster_2562",0.734279655908972
"56","cluster_10","cluster_2564",0.606016267264058
"57","cluster_10","cluster_27",0.697567888166579
"58","cluster_10","cluster_37",0.789495790926963
"59","cluster_10","cluster_4",0.686442195031546
"60","cluster_10","cluster_40",0.660009221659504
"61","cluster_10","cluster_477",0.708467029017422
"62","cluster_10","cluster_55",0.769226989187336
"63","cluster_10","cluster_63",0.670803997757853
"64","cluster_10","cluster_634",0.71380733907155
"65","cluster_10","cluster_718",0.710952924627756
"66","cluster_10","cluster_837",0.766322963383098
"67","cluster_10","cluster_86",0.665137700336178
"68","cluster_100","cluster_1248",0.828522294597402
"69","cluster_100","cluster_1445",0.805927453350541
"70","cluster_100","cluster_156",0.731470751187074
"71","cluster_100","cluster_172",0.772277034930764
"72","cluster_100","cluster_1737",0.846883927811794
"73","cluster_100","cluster_1806",0.724175167920899
"74","cluster_100","cluster_1915",0.718427585097463
"75","cluster_100","cluster_1961",0.862564136743055
"76","cluster_100","cluster_2089",0.731858533182151
"77","cluster_100","cluster_2091",0.848495630801049
"78","cluster_100","cluster_2263",0.729940582933096
"79","cluster_100","cluster_2276",0.826576191546576
"80","cluster_100","cluster_2292",0.775907950453295
"81","cluster_100","cluster_2300",0.878664383667842
"82","cluster_100","cluster_2324",0.809581837989293
"83","cluster_100","cluster_2344",0.856323587924821
"84","cluster_100","cluster_2346",0.816444815964187
"85","cluster_100","cluster_24",0.780285881157376
"86","cluster_100","cluster_2414",0.732962396998284
"87","cluster_100","cluster_2490",0.832252529350013
"88","cluster_100","cluster_2545",0.799441220018166
"89","cluster_100","cluster_27",0.827636688365945
"90","cluster_1000","cluster_202",0.724667295351637
"91","cluster_1000","cluster_540",0.665723271635054
"92","cluster_1001","cluster_1007",0.704577222080167
"93","cluster_1001","cluster_1058",0.710409477471845
"94","cluster_1001","cluster_1159",0.671004482572287
"95","cluster_1001","cluster_124",0.833109901924673
"96","cluster_1001","cluster_1248",0.64270688628677
"97","cluster_1001","cluster_1343",0.752911737684868
"98","cluster_1001","cluster_1401",0.801765977234221
"99","cluster_1001","cluster_1510",0.674497154605513
